"Title","Year","Category","Format","Version","Studio","Duration","Remark","만든 날짜","Lable","Included","NEW","TrailerLink","Note"
"Burning Highway","0","Brand TLR","4DX","EN-XX_60sec",,"60sec","w/DCP+Code","2026-02-20 오후 2:43",,,,,
"Project Hail Mary","2026","TLR","4DX","2","Sony","2min 30sec",,"2026-03-04 오후 4:59",,,,,
"Project Hail Mary","2026","TLR","4DX","H","Sony","1min 32sec",,"2026-03-04 오후 4:59",,,,,
"Project Hail Mary","2026","TLR","4DX","J","Sony","2min 23sec",,"2026-03-04 오후 4:59",,,,,
"Project Hail Mary","2026","TLR","SX","E/3","Sony","2min 24sec",,"2026-02-24 오전 10:06",,,,,
,,,,,,,,"2026-02-24 오전 10:13",,,,,
"Burning Highway","0","Brand TLR","4DX","FR",,"92sec","w/DCP+Code","2026-02-25 오전 10:19",,,,,
"Burning Highway","0","Brand TLR","4DX","BE",,"92sec","w/DCP+Code","2026-02-25 오전 10:19",,,,,
"Burning Highway","0","Brand TLR","4DX","LAS",,"92sec","w/DCP+Code","2026-02-25 오전 10:19",,,,,
"Burning Highway","0","Brand TLR","4DX","PT",,"92sec","w/DCP+Code","2026-02-25 오전 10:19",,,,,
"Burning Highway","0","Brand TLR","4DX","CN",,"92sec","w/DCP+Code","2026-02-25 오전 10:19",,,,,
"Burning Highway","0","Brand TLR","4DX","TR",,"92sec","w/DCP+Code","2026-02-25 오전 10:22",,,,,
"Burning Highway","0","Brand TLR","4DX","TW",,"92sec","w/DCP+Code","2026-02-25 오전 10:22",,,,,
"Burning Highway","0","Brand TLR","4DX","BA",,"92sec","w/DCP+Code","2026-02-25 오전 10:29",,,,,
"Burning Highway","0","Brand TLR","4DX","RS",,"92sec","w/DCP+Code","2026-02-25 오전 10:29",,,,,
"Burning Highway","0","Brand TLR","4DX","HR",,"92sec","w/DCP+Code","2026-02-25 오전 10:29",,,,,
"Burning Highway","0","Brand TLR","4DX","KV",,"92sec","w/DCP+Code","2026-02-25 오전 10:29",,,,,
"Project Hail Mary","2026","TLR","4DX","B/1","Sony","2min 28sec",,"2026-02-26 오후 4:20",,,,,
"Burning Highway","0","Brand TLR","4DX","EN-XX_45sec",,"45sec","w/DCP+Code","2026-02-27 오전 9:16",,,,,
"Toy Story 5","2026","TLR","4DX","B/3","Disney","2min 26sec",,"2026-03-04 오후 5:06",,,,"https://www.imdb.com/video/vi1592511257",
"Star Wars: The Mandalorian and Grogu","2026","TLR","4DX","H/5","Disney","2min 12sec",,"2026-03-04 오후 5:14",,,,"https://www.imdb.com/video/vi99142425/",
"ULTRA 4DX","0","Brand TLR","ULTRA","EN-TW",,"68s","DCP, 4DX Code and SX Wing will be distributed for this request. (ONLY FLAT)","2026-03-04 오후 5:23","2026년 제작",,,,
"ULTRA 4DX","0","Brand TLR","ULTRA","TW_30s",,"30s","This is only for 2D screening in TW-Showtime.     There's no any 4DX codes or SX wings.","2026-03-04 오후 5:23","2026년 제작",,,,
"The Super Mario Galaxy Movie ","2026","TLR","4DX","L","Universal","1min 1sec",,"2026-03-16 오전 10:59",,,,,
